"imputation","iteration","suggested_factors","item_removed","removal_reason","removal_value","communality","complexity","highest_loading"
1,1,20,"Sympathy_Limits","communality",0.11,0.11,5.3,0.19
1,2,21,"Worry_Compare","communality",0.13,0.13,7.64,0.17
1,3,20,"More_Or_Less_Positive","communality",0.15,0.15,1.91,0.32
1,4,20,"Aware_Body","communality",0.15,0.15,5.76,0.22
1,5,21,"Alcohol_More_Than_Intended","communality",0.17,0.17,9.03,0.16
1,6,21,"Quick_Sense_Hunger","communality",0.18,0.18,3.21,0.3
1,7,21,"Should_Obey_Law","communality",0.18,0.18,4.61,0.23
1,8,21,"Low_Pain_Tolerance","communality",0.2,0.2,7.68,0.21
1,9,21,"Without_skill","communality",0.21,0.21,1.39,0.42
1,10,21,"When_Difficult","communality",0.15,0.15,3.38,0.29
1,11,17,"Choose_Goals","communality",0.13,0.13,7.54,0.21
1,12,22,"To_Reach_Goals","communality",0.17,0.17,3.8,0.21
1,13,20,"Approach_Health","communality",0.17,0.17,9.48,0.14
1,14,20,"Intercourse_Pain","communality",0.22,0.22,2.02,0.34
1,15,20,"Loud_Noise","communality",0.23,0.23,7.74,0.2
1,16,20,"Leaking_Urine","communality",0.23,0.23,2.79,0.33
1,17,20,"Hate_Temp","communality",0.23,0.23,6.87,0.22
1,18,15,"Releived_No_Responsibility","communality",0.2,0.2,5.3,0.23
1,19,15,"Bad_Happens_Prevented","communality",0.22,0.22,4.96,0.26
1,20,15,"Headache_Frequency","communality",0.23,0.23,4.11,0.25
1,21,15,"Lower_Expectations","communality",0.24,0.24,4.47,0.29
1,22,15,"Asking_Help_Naturally","communality",0.23,0.23,4.23,0.32
1,23,21,"Dont_Like_Help","communality",0.24,0.24,6.15,0.26
1,24,21,"Careless","max_loading",0.2,0.29,8.26,0.2
1,25,21,"Mental_Emotional","max_loading",0.22,0.38,6.54,0.22
1,26,21,"Exciting_Look_Forward","max_loading",0.25,0.53,6.66,0.25
1,27,21,"Dissapointment_Low_Goal","max_loading",0.28,0.34,4.11,0.28
1,28,21,"Trust_Friends","max_loading",0.28,0.47,5.54,0.28
1,29,21,"Some_Wander_Aimlessly","max_loading",0.27,0.47,4.25,0.27
1,30,21,"Enjoy_Convo","max_loading",0.29,0.56,5.8,0.29
1,31,21,"Avoid_Distraction","max_loading",0.28,0.32,5.38,0.28
1,32,21,"Nothing_Cheer","max_loading",0.28,0.7,5.86,0.28
1,33,21,"Worthless_Freq","max_loading",0.29,0.79,5.52,0.29
1,34,21,"Positive_About_Self","max_loading",0.29,0.75,7.54,0.29
1,35,21,"People_Take_Advantage","max_loading",0.3,0.46,5.5,0.3
2,1,20,"Sympathy_Limits","communality",0.11,0.11,4.93,0.2
2,2,21,"Worry_Compare","communality",0.12,0.12,6.81,0.18
2,3,20,"More_Or_Less_Positive","communality",0.15,0.15,1.94,0.32
2,4,20,"Aware_Body","communality",0.15,0.15,6.06,0.22
2,5,21,"Alcohol_More_Than_Intended","communality",0.18,0.18,9.04,0.17
2,6,21,"Quick_Sense_Hunger","communality",0.18,0.18,2.58,0.32
2,7,21,"Should_Obey_Law","communality",0.18,0.18,4.41,0.23
2,8,21,"Low_Pain_Tolerance","communality",0.2,0.2,8.15,0.21
2,9,21,"When_Difficult","communality",0.21,0.21,2.03,0.42
2,10,21,"Without_skill","communality",0.15,0.15,1.92,0.31
2,11,17,"Choose_Goals","communality",0.14,0.14,7.05,0.22
2,12,19,"To_Reach_Goals","communality",0.16,0.16,5.44,0.18
2,13,20,"Approach_Health","communality",0.17,0.17,8.57,0.15
2,14,20,"Intercourse_Pain","communality",0.23,0.23,1.87,0.37
2,15,20,"Leaking_Urine","communality",0.23,0.23,3.16,0.32
2,16,20,"Loud_Noise","communality",0.23,0.23,7.28,0.2
