"","MR1","MR4","MR7","MR3","MR2","MR8","MR5","MR6","MR10","MR9","MR11"
"MR1",1,0.354182766424504,0.038433271597167,0.336997926455291,-0.1183512599899,0.302042177386589,-0.208973940427121,0.402340020704007,-0.0144537508515044,-0.00836375786771505,-0.0605877954580421
"MR4",0.354182766424504,1,0.0447621049266389,0.295500500716688,-0.195328868531038,0.345774984446923,-0.313886175694014,0.147293222876528,-0.179480324777047,-0.0882235997550364,0.0196181344909049
"MR7",0.038433271597167,0.0447621049266389,1,0.033637565783737,-0.0304651281779353,0.0335584911823685,-0.0288873212832494,0.0234769354233161,-0.00978912391122209,-0.0114774439115562,-0.00258595077600486
"MR3",0.336997926455291,0.295500500716688,0.033637565783737,1,0.0341743105761824,0.182681151823785,-0.173227034830086,0.121369209835721,-0.153492403145748,-0.0685881342085293,-0.0131260077740169
"MR2",-0.1183512599899,-0.195328868531038,-0.0304651281779353,0.0341743105761824,1,-0.299171242721288,0.19653262847049,-0.139340943227585,0.309304210455553,0.119127286214178,0.155721519911089
"MR8",0.302042177386589,0.345774984446923,0.0335584911823685,0.182681151823785,-0.299171242721288,1,-0.151746102147941,0.169410334464087,-0.0443838007181988,0.0223021432494885,-0.0564728757734819
"MR5",-0.208973940427121,-0.313886175694014,-0.0288873212832494,-0.173227034830086,0.19653262847049,-0.151746102147941,1,-0.115489273993759,0.114513379083068,0.260793459125332,0.0156492636451229
"MR6",0.402340020704007,0.147293222876528,0.0234769354233161,0.121369209835721,-0.139340943227585,0.169410334464087,-0.115489273993759,1,-0.00240386853086452,0.0826705046802993,0.017597598536081
"MR10",-0.0144537508515044,-0.179480324777047,-0.00978912391122209,-0.153492403145748,0.309304210455553,-0.0443838007181988,0.114513379083068,-0.00240386853086452,1,0.207090238332603,0.107488653639843
"MR9",-0.00836375786771505,-0.0882235997550364,-0.0114774439115562,-0.0685881342085293,0.119127286214178,0.0223021432494885,0.260793459125332,0.0826705046802993,0.207090238332603,1,0.134491179603748
"MR11",-0.0605877954580421,0.0196181344909049,-0.00258595077600486,-0.0131260077740169,0.155721519911089,-0.0564728757734819,0.0156492636451229,0.017597598536081,0.107488653639843,0.134491179603748,1
