"","MR1","MR4","MR7","MR2","MR3","MR5","MR8","MR6","MR10","MR9"
"MR1",1,0.357467285629669,-0.0552749452776604,0.373505763996362,0.336614364302066,-0.202871149751785,0.302086599239039,0.40795402629512,0.0153767203549476,0.0248451479259245
"MR4",0.357467285629669,1,0.00847016415541294,0.444884145660994,0.288897969671424,-0.335401837515886,0.356926466103314,0.142174967198886,-0.165008825021612,0.0306906790364929
"MR7",-0.0552749452776604,0.00847016415541294,1,0.0650542808825226,0.0747279779520177,0.162580187818143,-0.270217451511379,-0.082530563623177,0.315866758752302,0.143750181594412
"MR2",0.373505763996362,0.444884145660994,0.0650542808825226,1,0.370401414820272,-0.269640400968778,0.269297304714505,0.218811461400426,0.0156905036337295,0.0666293574384696
"MR3",0.336614364302066,0.288897969671424,0.0747279779520177,0.370401414820272,1,-0.191035906667888,0.190571263351489,0.111912636637423,-0.184170725123598,-0.0323570382747295
"MR5",-0.202871149751785,-0.335401837515886,0.162580187818143,-0.269640400968778,-0.191035906667888,1,-0.143723058950788,-0.102112929503096,0.124565784894533,0.187104187699189
"MR8",0.302086599239039,0.356926466103314,-0.270217451511379,0.269297304714505,0.190571263351489,-0.143723058950788,1,0.175739609843834,0.0170235022931803,0.0660330056922146
"MR6",0.40795402629512,0.142174967198886,-0.082530563623177,0.218811461400426,0.111912636637423,-0.102112929503096,0.175739609843834,1,0.0130028998589019,0.127059741370482
"MR10",0.0153767203549476,-0.165008825021612,0.315866758752302,0.0156905036337295,-0.184170725123598,0.124565784894533,0.0170235022931803,0.0130028998589019,1,0.163553244625425
"MR9",0.0248451479259245,0.0306906790364929,0.143750181594412,0.0666293574384696,-0.0323570382747295,0.187104187699189,0.0660330056922146,0.127059741370482,0.163553244625425,1
