"Item","MR1","MR4","MR7","MR2","MR3","MR5","MR8","MR6","MR10","MR9"
"Upset_Freq_30_Day",0.84,-0.07,-0.01,0,0.04,0,-0.01,-0.04,0,-0.02
"Frustrated_Freq_30_Day",0.8,-0.02,-0.01,0,0.03,-0.02,-0.04,0,-0.01,-0.07
"Afraid_Freq_30_Day",0.78,0.03,0,0,-0.05,0.01,0.07,-0.03,0.02,0.05
"Irritable_Freq",0.77,-0.08,-0.04,-0.04,0.07,-0.03,-0.01,0.04,0,-0.12
"Hopeless_Freq",0.76,0.15,0.05,0.15,-0.03,-0.03,-0.05,0.04,-0.01,0.08
"Angry_Freq",-0.75,0.08,0,-0.03,-0.13,0.04,0.06,0.04,0.03,0.03
"Ashamed_Freq",0.73,0.11,-0.04,-0.04,0.02,-0.04,0.02,-0.05,-0.05,0.04
"Worthless_Freq",0.72,0.21,0.01,0.09,-0.05,-0.02,-0.03,0.06,-0.04,0.08
"Nervous_Freq_30_Day",0.72,-0.07,-0.01,-0.03,0.02,0.03,0.16,0.06,0.05,-0.06
"Jittery_Freq_30_Day",0.71,-0.08,-0.03,-0.08,0.07,-0.02,0.08,0.14,0,0.01
"Restless_Freq_30_Day",0.68,-0.04,0.02,-0.05,0.07,0.01,0.06,0.16,-0.03,-0.01
"Lonely_Frequency",0.68,0.26,0.07,0.03,-0.12,0,-0.02,0.01,-0.02,0.08
"Everything_Effort",0.64,0.06,-0.04,0.01,0.04,-0.01,-0.05,0.15,0.04,0.05
"Worry_Frequency",0.49,-0.02,0.08,0.18,0,0.02,0.07,0.02,0.06,-0.1
"Felt_Belong_Freq",-0.37,-0.26,-0.02,-0.13,0.04,0.2,0,-0.01,0.04,0.07
"No_Good_Sense",0.09,0.6,-0.07,0.04,0.04,-0.04,0.14,0.05,-0.02,-0.01
"Others_More_Life",0.12,0.52,0,0.16,0.06,0.01,0.13,0.03,0.06,0.02
"Few_Close_Friends",0.15,0.51,0.12,0.05,0.03,-0.22,0.18,0.02,0.03,0.02
"Activities_Trivial",0.05,0.48,-0.08,0.03,0.11,-0.03,0.1,0.06,0,0.01
"Disapoint_Acheivment",0.17,0.43,-0.02,0.17,0.04,-0.02,0.05,0.04,0.06,0.11
"Difficult_Arrange",0.25,0.42,-0.03,0.09,0.05,0.03,0.21,0.02,0.03,0.01
"Gave_Up",-0.03,0.41,-0.15,0.12,0.08,-0.07,0.14,0.12,-0.01,0.14
"Sense_Of_Direction",-0.08,-0.39,0.14,-0.18,0.07,0.06,-0.04,-0.08,0.15,0.16
"No_Warm_Relationship",0.04,0.38,0.16,0.17,0.11,-0.34,0.14,0.04,-0.01,0.1
"Dont_Fit_Community",0.03,0.36,0.12,0.06,0.12,-0.32,0.15,0.04,-0.02,0.04
"Maintaining_Relationships_Hard",0.11,0.36,0.16,0.08,0.12,-0.32,0.15,0.03,-0.01,0.06
"Self_Attitude",0.13,0.31,0.01,0.25,0.04,-0.02,0.26,0.03,0.07,0.02
"Dont_Feel_Community",0.03,0.27,0.11,0.24,0.08,-0.24,0.03,0.07,-0.02,0.09
"Like_Difficult_Things",-0.01,0.14,0.69,0.09,0.08,0.07,-0.16,-0.02,-0.12,-0.13
"Dont_Give_Up",-0.02,0,0.67,0.15,-0.06,-0.01,-0.06,-0.01,0.11,0.07
"Keep_Work_Problems",0.05,0.1,0.64,0.25,-0.02,-0.02,-0.11,0.01,0.13,-0.03
"Like_Hard_Work",-0.05,-0.06,0.57,0.15,-0.06,0.03,0.04,-0.03,-0.02,-0.07
"High_Standards",0.03,-0.04,0.54,0.09,-0.08,-0.07,-0.04,-0.04,0.2,-0.1
"Too_Much_Get_Done",-0.04,-0.11,0.52,0.17,-0.08,0.04,0.01,-0.04,0.1,0.11
"Will",-0.04,-0.02,0.48,-0.01,-0.01,0.06,-0.05,0.07,0.02,0.25
"Change_For_Better",-0.01,-0.02,0.42,-0.12,-0.09,0.08,-0.08,0.04,0.11,0.2
"Goal_Keep_Benefits",0.02,0,0.39,-0.1,0.07,0.02,-0.07,-0.03,0.22,0.05
"Plan_Future",-0.02,-0.11,0.38,-0.17,0.08,0.11,0.07,-0.03,0.2,-0.19
"Know_Want_Life",-0.06,-0.25,0.33,-0.13,0.07,0.06,0,-0.03,0.17,0.05
"Fun_Tight_Rope",0.02,0.23,0.32,-0.08,0.24,0.11,-0.01,-0.08,-0.24,-0.13
"Actively_Carry_Plans",-0.08,-0.24,0.31,-0.08,0.03,0.07,-0.06,-0.03,0.14,0.07
"Organized",-0.07,-0.11,0.27,0.06,-0.1,-0.09,-0.02,-0.03,0.24,-0.02
"If_No_Goal_Think_Others",0.05,0.03,0.26,-0.15,0.05,0.08,0.01,-0.03,0.14,0.05
"Hardly_Expect_Go_My_Way",0.04,0.05,0.18,0.73,0.14,0.03,0.09,0.01,0.03,0.11
"Rarely_Good_Happen",0,0.11,0.19,0.68,0.14,-0.01,0.05,0.04,0.03,0.1
"Expect_Good_Not_Bad",-0.04,-0.02,0.01,-0.64,0.02,0.06,0.02,-0.04,0.05,0.17
"If_Go_Wrong_It_Will",0.02,0.01,0.15,0.63,0.22,0.03,0.06,0.04,0.09,0.14
"Optimistic_About_Future",-0.13,-0.06,0.22,-0.39,0.04,0.05,0,-0.04,-0.04,0.19
