"","MR1","MR5","MR3","MR2","MR4"
"MR1",-0.00414714851056951,1.00060391738886,0.00246313776385886,-0.00549964751100505,0.000407723354878826
"MR4",0.695854577765914,-0.0240110548770551,0.0355572268019703,-0.00738234543856649,-0.0430648308963031
"MR7",0.0668139409462562,0.00278520065670928,-0.00914793191597673,0.00286027965395557,0.00459375411761766
"MR3",0.427454474833207,0.132012228221844,0.221215285811911,-0.0178310260516865,-0.12478909886149
"MR2",-0.00990938754184574,-0.00346002762211742,0.988572346440001,0.00700996580538718,0.0201715127830312
"MR8",0.386379119980448,0.0802725746091455,-0.194956253403226,0.0762440744208988,0.0695265524263699
"MR5",-0.399651876573875,0.00848641688731473,0.0453110067575502,0.215193289038478,-0.0235850928858398
"MR6",0.0718062627246767,0.351208568373186,-0.0964827950079994,0.0965064233170713,0.0324424414931202
"MR10",0.000141711143563541,0.00182094542624793,0.0134769180823833,-0.000779377187371419,0.994261022548154
"MR9",0.000232509765085599,-0.00173874648450607,0.00429790325701301,0.997258615165542,0.000126427917357165
"MR11",0.115532532903981,-0.0978466419888716,0.149314940477023,0.114570281213842,0.0630566327588594
