"lhs","op","rhs","mi","riv","fmi","epc","sepc.lv","sepc.all"
"Internalizing","=~","Felt_Close_Others_Freq",11221.9045715658,0.16996828278721,0.145275974817279,2.47180525648299,2.47180525648299,0.971841362729458
"Warmth","=~","Felt_Belong_Freq",10521.3631690316,0.0879828841026378,0.0808678935930188,-1.1027154423145,-1.1027154423145,-0.672232451637421
"Felt_Belong_Freq","~~","Felt_Close_Others_Freq",10005.1536480636,0.107108820055452,0.0967464246650001,-1.95541507542538,-1.95541507542538,-1.95541507542538
"Effective_Talking_People","~~","Good_Influence_People",9705.23696307469,0.157251791353258,0.135883817617057,-1.52949878018822,-1.52949878018822,-1.52949878018822
"Good_Spirits_Freq","~~","Cheerful_Freq",7334.79415860788,0.249474027981079,0.199663236205224,-1.54792139029488,-1.54792139029488,-1.54792139029488
"Dont_Give_Up","~~","Rarely_Give_Up",5600.47593246049,0.0756358962274408,0.0703173782994016,-0.70701957467687,-0.70701957467687,-0.70701957467687
"Internalizing","=~","Positive_About_Self",5366.39238921005,0.0726131119888225,0.0676973935682964,0.945557222287615,0.945557222287615,0.356983823348005
"Detachment","=~","Positive_About_Self",4661.42411476602,0.0447035183253474,0.0427906267579215,1.22898491680108,1.22898491680108,0.463989245936785
"Disinhibited_Externalizing","=~","Felt_Belong_Freq",4430.29078016986,0.0445123196712787,0.0426154089645274,-0.579842578354914,-0.579842578354914,-0.353480963001081
"Overwhelmed_Responsibility","~~","Difficult_Voice_Opinion",4015.13067868257,0.08980778776503,0.0824069976130444,-0.59825594402293,-0.59825594402293,-0.59825594402293
"Warmth","=~","Positive_About_Self",3857.12347988381,0.0474759303291197,0.0453241253135074,-1.58022229538159,-1.58022229538159,-0.596593567912796
"Worrying","~~","Nervous",3136.61151768906,0.0422117783899406,0.0405021122052098,-0.593954873129238,-0.593954873129238,-0.593954873129238
"Hardly_Expect_Go_My_Way","~~","Rarely_Good_Happen",3072.96133320809,0.0751085095926056,0.0698613292727696,-0.647975198506564,-0.647975198506564,-0.647975198506564
