"imputation","iteration","suggested_factors","item_removed","removal_reason","removal_value","communality","complexity","highest_loading"
1,1,28,"Sympathy_Limits","communality",0.12,0.12,6.38,0.19
1,2,28,"Worry_Compare","communality",0.13,0.13,5.6,0.2
1,3,27,"More_Or_Less_Positive","communality",0.16,0.16,2.09,0.31
1,4,27,"Alcohol_More_Than_Intended","communality",0.18,0.18,9,0.16
1,5,27,"Should_Obey_Law","communality",0.19,0.19,6.54,0.21
1,6,27,"Aware_Body","communality",0.19,0.19,3.29,0.34
1,7,27,"Without_skill","communality",0.23,0.23,1.47,0.44
1,8,27,"When_Difficult","communality",0.17,0.17,2.46,0.34
1,9,27,"Approach_Health","communality",0.21,0.21,3.35,0.25
1,10,27,"Intercourse_Pain","communality",0.23,0.23,5.69,0.24
1,11,27,"Leaking_Urine","communality",0.23,0.23,2.54,0.33
1,12,27,"Bad_Happens_Prevented","communality",0.24,0.24,6.47,0.23
1,13,27,"Releived_No_Responsibility","communality",0.24,0.24,3.01,0.34
1,14,27,"Quick_Sense_Hunger","communality",0.24,0.24,1.24,0.51
1,15,26,"Low_Pain_Tolerance","communality",0.21,0.21,7.37,0.24
1,16,26,"Loud_Noise","communality",0.23,0.23,9.88,0.17
1,17,26,"Hate_Temp","communality",0.23,0.23,6.82,0.2
1,18,26,"Headache_Frequency","communality",0.25,0.25,7.54,0.2
1,19,26,"Mental_Emotional","max_loading",0.21,0.38,6.87,0.21
1,20,26,"Exciting_Look_Forward","max_loading",0.22,0.54,8.17,0.22
1,21,26,"Trust_Friends","max_loading",0.23,0.48,7.64,0.23
1,22,25,"Careless","max_loading",0.23,0.3,7.49,0.23
1,23,25,"Some_Wander_Aimlessly","max_loading",0.23,0.47,5.86,0.23
1,24,26,"Actively_Carry_Plans","max_loading",0.23,0.53,6.64,0.23
1,25,26,"Worthless_Freq","max_loading",0.23,0.82,8.36,0.23
1,26,26,"Nothing_Cheer","max_loading",0.24,0.72,8.37,0.24
1,27,25,"Positive_About_Self","max_loading",0.24,0.78,10.47,0.24
1,28,25,"Avoid_Distraction","max_loading",0.25,0.33,6.11,0.25
1,29,25,"High_Standards","max_loading",0.26,0.44,8.26,0.26
1,30,25,"Worry_Frequency","max_loading",0.26,0.4,5.12,0.26
1,31,25,"Dont_Fit_Community","max_loading",0.28,0.5,5.96,0.28
1,32,25,"People_Take_Advantage","max_loading",0.27,0.47,6.77,0.27
1,33,25,"Sense_Of_Direction","max_loading",0.28,0.61,5.74,0.28
1,34,25,"Expect_The_Best","max_loading",0.28,0.36,6.2,0.28
1,35,25,"Optimistic_About_Future","max_loading",0.27,0.48,5.82,0.27
1,36,24,"Choose_Goals","communality",0.19,0.19,6.04,0.28
1,37,24,"To_Reach_Goals","communality",0.16,0.16,5.54,0.17
1,38,24,"Everything_Effort","max_loading",0.28,0.58,5.27,0.28
1,39,24,"More_Sucessful","max_loading",0.29,0.4,4.21,0.29
