"lhs","op","rhs","mi","riv","fmi","epc","sepc.lv","sepc.all"
"Detachment","=~","Actively_Carry_Plans",1659.66916064129,0.0278573876009988,0.0271023859312014,0.320942354547141,0.320942354547141,0.320942354547141
"Anatagonistic","=~","Actively_Carry_Plans",1194.1384263843,0.0241115243504416,0.0235438463264386,0.235725604805449,0.235725604805449,0.235725604805449
"Angry_Ready_Hit","~~","Sometimes_Just_Hit_Someone",1153.61874838918,0.155643359290187,0.134681135004995,-0.412245197849675,-0.412245197849675,-0.6648609084216
"Internalizing","=~","Actively_Carry_Plans",1048.33956694865,0.0389690932991364,0.037507461531309,0.186490672483668,0.186490672483668,0.186490672483668
"Swea_Frequency","~~","Hot_Flashes",1000.86048458858,0.0501447551401494,0.0477503266999197,-0.379444392717878,-0.379444392717878,-0.541078536261283
"Upset_Freq_30_Day","~~","Angry_Freq",850.653472933433,0.0546236184007384,0.0517944197794197,-0.188947264601687,-0.188947264601687,-0.560048781815543
"Will","~~","Change_For_Better",767.633226343382,0.0403510513056948,0.0387859956070138,-0.261236914493225,-0.261236914493225,-0.481591887262302
"Somaticizing","=~","Actively_Carry_Plans",732.715773906695,0.0410249703408042,0.0394082481300844,0.211549494698796,0.211549494698796,0.211549494698796
"Internalizing","=~","Mood_Up_Down",644.795192465689,0.0400423030656202,0.0385006484328492,-0.286215728524894,-0.286215728524894,-0.286215728524894
"Frustrated_Freq_30_Day","~~","Angry_Freq",633.098464198584,0.0482012460099663,0.0459847249690333,-0.16342174610427,-0.16342174610427,-0.480306912453367
"Nervous_Freq_30_Day","~~","Restless_Freq_30_Day",599.036694683367,0.068048839957328,0.0637132286572652,-0.199773218825236,-0.199773218825236,-0.437174971328207
"Disinhibited_Externalizing","=~","Gave_Up",558.915780185118,0.0268005326693568,0.0261010116538252,0.217908573401183,0.217908573401183,0.217908573401183
"Detachment","=~","Dont_Give_Up",544.593921878963,0.0434498653264823,0.0416405874113438,-0.193994021100905,-0.193994021100905,-0.193994021100905
"Detachment","=~","Worthless_Freq",539.817538546254,0.0831484147481404,0.0767654862583855,-0.219440127561633,-0.219440127561633,-0.219440127561633
"Internalizing","=~","Sometimes_Just_Hit_Someone",477.448375519998,0.0771518602457375,0.0716257967823927,0.316929598544178,0.316929598544178,0.316929598544178
"Detachment","=~","Know_Want_Life",467.93846960892,0.0435211360478902,0.0417060417316673,0.182529457773485,0.182529457773485,0.182529457773485
"Like_Difficult_Things","~~","Like_Hard_Work",453.391312987312,0.0302176648139067,0.0293313402069892,-0.230475935035042,-0.230475935035042,-0.302744296346394
"Enjoy_Hurting_Say_Mean","~~","When_Insult_Get_Even",423.154096334914,0.0184360763352082,0.0181023402092643,-0.293511726594311,-0.293511726594311,-0.406604937465958
"Disinhibited_Externalizing","=~","Worthless_Freq",421.045694563756,0.0919802549880587,0.0842325257878079,0.17016014444889,0.17016014444889,0.17016014444889
"Internalizing","=~","When_Insult_Get_Even",420.07117948322,0.0510453393528408,0.0485662582208593,0.236300305262913,0.236300305262913,0.236300305262913
"Too_Much_Get_Done","~~","Dont_Give_Up",411.624874214787,0.0209106186688353,0.0204823206718142,-0.214558606721001,-0.214558606721001,-0.324437800878419
"Somaticizing","=~","Mood_Up_Down",387.325721229262,0.0390846007905173,0.0376144548391752,-0.230568303093133,-0.230568303093133,-0.230568303093133
"Detachment","=~","Upset_Freq_30_Day",381.538365888019,0.0737681903139539,0.0687002939548667,0.160042507042816,0.160042507042816,0.160042507042816
"Anatagonistic","=~","Dont_Give_Up",381.014760215012,0.0498789561446345,0.0475092446159698,-0.137139045569587,-0.137139045569587,-0.137139045569587
"Maintaining_Relationships_Hard","~~","No_Warm_Relationship",373.351981960649,0.011278777279137,0.0111529852425883,-0.158795331209877,-0.158795331209877,-0.306797967554438
"Internalizing","=~","Falling_Asleep",364.038399031163,0.0386697476191493,0.0372300702006471,-0.302451149212329,-0.302451149212329,-0.302451149212329
"Internalizing","=~","Difficult_Arrange",352.265400610643,0.0400321507503764,0.038491262718651,-0.144878090191409,-0.144878090191409,-0.144878090191409
"Lonely_Frequency","~~","Few_Close_Friends",327.890716009747,0.0150607020962772,0.0148372428024986,-0.197215650935292,-0.197215650935292,-0.461197372925042
"Somaticizing","=~","When_Insult_Get_Even",323.416697928881,0.0349757717567573,0.0337938072669951,0.209392459101741,0.209392459101741,0.209392459101741
"Detachment","=~","Lonely_Frequency",322.329126600478,0.090037364840674,0.0826002555002638,-0.157696300058384,-0.157696300058384,-0.157696300058384
"Anatagonistic","=~","Know_Want_Life",314.632868956771,0.0365408248595989,0.0352526634583336,0.127507062483128,0.127507062483128,0.127507062483128
"Internalizing","=~","Dont_Give_Up",310.395334274529,0.0645643414071703,0.0606486042185364,-0.104458943153839,-0.104458943153839,-0.104458943153839
"Plan_Future","~~","Know_Want_Life",306.600898483306,0.0427097324605802,0.0409603278179768,-0.162318900077308,-0.162318900077308,-0.355974828364583
"Detachment","=~","Angry_Freq",302.979829758842,0.0548745194577083,0.0520199497148896,0.143126062732377,0.143126062732377,0.143126062732377
"Frustrated_Freq_30_Day","~~","Upset_Freq_30_Day",300.806609680656,0.0235519415586371,0.0230100111214413,-0.116806094271161,-0.116806094271161,-0.364230799201621
"Detachment","=~","Goal_Keep_Benefits",300.591951962537,0.0567236737665257,0.0536788142205077,-0.141658100604085,-0.141658100604085,-0.141658100604085
"No_Good_Sense","~~","Know_Want_Life",294.875580389268,0.0251240695047131,0.024508320750728,0.163575676400735,0.163575676400735,0.430215258957391
"Anatagonistic","=~","Goal_Keep_Benefits",292.685272012503,0.0630401514289761,0.0593017595283069,-0.118496718414169,-0.118496718414169,-0.118496718414169
"Internalizing","=~","Gave_Up",291.121886390502,0.0445562271195552,0.042655652192532,0.144325562430222,0.144325562430222,0.144325562430222
"Internalizing","=~","Know_Want_Life",285.096350332961,0.0458873274701143,0.0438740639310648,0.101556600304651,0.101556600304651,0.101556600304651
"Anatagonistic","=~","Like_Difficult_Things",283.804381289351,0.0838694273571042,0.0773796411636137,-0.118467432474444,-0.118467432474444,-0.118467432474444
"Detachment","=~","Hot_Flashes",280.347389804807,0.0397243583489621,0.0382066246981485,0.140824171887138,0.140824171887138,0.140824171887138
"Disinhibited_Externalizing","=~","No_Good_Sense",272.45615026547,0.0390637121218559,0.0375951076590718,0.150326348602462,0.150326348602462,0.150326348602462
"Like_Hard_Work","~~","High_Standards",268.11848214514,0.0328604978081534,0.031815039763731,-0.195498865182051,-0.195498865182051,-0.263605931077824
"Anatagonistic","=~","Hot_Flashes",259.235217064384,0.0551200954958843,0.0522405892288299,0.164727333548106,0.164727333548106,0.164727333548106
"Detachment","=~","Like_Difficult_Things",258.842129117473,0.0748811271274626,0.0696645659111875,-0.135060902393809,-0.135060902393809,-0.135060902393809
"Internalizing","=~","Goal_Keep_Benefits",254.412045568115,0.080347059053029,0.0743715256868073,-0.0940489900106738,-0.0940489900106738,-0.0940489900106738
"Internalizing","=~","Upset_Think_Day",246.436781709855,0.0555257508852823,0.0526048282940631,-0.176408646890217,-0.176408646890217,-0.176408646890217
"Somaticizing","=~","Sometimes_Just_Hit_Someone",245.473894920671,0.0716252832730765,0.0668379930849621,0.236447536993034,0.236447536993034,0.236447536993034
"Disinhibited_Externalizing","=~","Maintaining_Relationships_Hard",243.751088833281,0.0121691171106568,0.0120228101262315,-0.154484269051255,-0.154484269051255,-0.154484269051255
"Detachment","=~","Hopeless_Freq",240.692048544743,0.102108664463951,0.0926484545093517,-0.147384914893673,-0.147384914893673,-0.147384914893673
"Internalizing","=~","Hot_Flashes",239.614501435725,0.0501874649906679,0.0477890535392306,0.214686387132228,0.214686387132228,0.214686387132228
"Disinhibited_Externalizing","=~","Upset_Freq_30_Day",238.946295208917,0.0704822371250973,0.0658415755822212,-0.107981401029814,-0.107981401029814,-0.107981401029814
"Detachment","=~","Sometimes_Just_Hit_Someone",236.353990117721,0.0840303499795562,0.0775166027234762,0.247590932541114,0.247590932541114,0.247590932541114
"Somaticizing","=~","Dont_Give_Up",233.178545173048,0.0503014259861428,0.0478923714103445,-0.121408827937255,-0.121408827937255,-0.121408827937255
"Actively_Carry_Plans","~~","Know_Want_Life",230.310423482457,0.0198465856142244,0.0194603638372446,0.160299408803752,0.160299408803752,0.399561704240187
"Detachment","=~","Will",230.141476617061,0.0491818985627072,0.0468764268904013,-0.12736904378403,-0.12736904378403,-0.12736904378403
"Detachment","=~","Angry_Ready_Hit",217.159607189681,0.0901072252887469,0.0826590478426371,0.209039423858149,0.209039423858149,0.209039423858149
"Anatagonistic","=~","Gave_Up",213.791385679813,0.0299825865206183,0.0291097994403016,0.180735161394558,0.180735161394558,0.180735161394558
"Somaticizing","=~","Difficult_Arrange",212.955632483801,0.0299714579059631,0.0290993091856138,-0.135390995673498,-0.135390995673498,-0.135390995673498
"Somaticizing","=~","Know_Want_Life",209.088217510496,0.0377138258041665,0.0363431852466074,0.117771777377019,0.117771777377019,0.117771777377019
"When_Insult_Get_Even","~~","Sometimes_Just_Hit_Someone",203.000995075467,0.0124955835361163,0.0123413709050224,-0.212685322145905,-0.212685322145905,-0.307102566722385
"Disinhibited_Externalizing","=~","Few_Close_Friends",202.962587624841,0.0244606395520034,0.0238766025825063,-0.14119533308811,-0.14119533308811,-0.14119533308811
"Anatagonistic","=~","Upset_Freq_30_Day",202.849042512168,0.0625446312110327,0.0588630626647161,0.154381174864976,0.154381174864976,0.154381174864976
"Disinhibited_Externalizing","=~","Angry_Freq",199.808065106013,0.060866894165298,0.0573746758429942,-0.0989644937197269,-0.0989644937197269,-0.0989644937197269
"Maintaining_Relationships_Hard","~~","Few_Close_Friends",188.821769670605,0.0177526194762651,0.0174429612231316,-0.116061731991929,-0.116061731991929,-0.242971378663
"Anatagonistic","=~","Worthless_Freq",185.607143103227,0.054434902634862,0.0516247162331577,-0.177616077672881,-0.177616077672881,-0.177616077672881
"Detachment","=~","Falling_Asleep",182.608704427056,0.0470372434873569,0.044924135965489,-0.116806527470238,-0.116806527470238,-0.116806527470238
"Restless_Freq_30_Day","~~","Falling_Asleep",182.361427152124,0.0327580248163817,0.0317189738827795,-0.154375784366845,-0.154375784366845,-0.318513037780976
"Internalizing","=~","Angry_Ready_Hit",181.321675635484,0.0898830506242005,0.0824703628272065,0.172170157361996,0.172170157361996,0.172170157361996
"Detachment","=~","Frustrated_Freq_30_Day",180.362515800271,0.0452437571633517,0.0432853646369886,0.106002441579505,0.106002441579505,0.106002441579505
"Somaticizing","=~","Restless_Freq_30_Day",174.566984470335,0.0366568092459865,0.0353606023893759,-0.207070855615476,-0.207070855615476,-0.207070855615476
"Gave_Up","~~","Actively_Carry_Plans",173.889851435385,0.00732784125442482,0.00727453461953306,0.122951283218127,0.122951283218127,0.265737911935612
"Anatagonistic","=~","Falling_Asleep",170.610214829757,0.0367356697090926,0.0354339787685713,-0.138149604791761,-0.138149604791761,-0.138149604791761
"Anatagonistic","=~","No_Good_Sense",168.534956926775,0.0266392855963153,0.0259480481314741,0.156267201729596,0.156267201729596,0.156267201729596
"Somaticizing","=~","Will",167.632550364996,0.0738601428054398,0.0687800392819139,-0.105810151048973,-0.105810151048973,-0.105810151048973
"Like_Difficult_Things","~~","High_Standards",166.743120873555,0.0229222817685978,0.0224086249533698,-0.158297069923072,-0.158297069923072,-0.210886274599589
"Internalizing","=~","Enjoy_Hurting_Say_Mean",166.169711022412,0.0526473005546796,0.050014188538685,0.185603082548632,0.185603082548632,0.185603082548632
"Somaticizing","=~","Upset_Think_Day",164.028936577356,0.0362311945883344,0.0349643928667173,-0.148135548962315,-0.148135548962315,-0.148135548962315
"Detachment","=~","Ashamed_Freq",163.905208119542,0.0738336714009238,0.0687570834918972,-0.13112436645461,-0.13112436645461,-0.13112436645461
"Angry_Ready_Hit","~~","When_Insult_Get_Even",160.853205882406,0.0211500078980632,0.0207119499921451,-0.174297384259632,-0.174297384259632,-0.24382908328467
"Somaticizing","=~","Goal_Keep_Benefits",160.255518962597,0.0665124427351132,0.0623644320215706,-0.0997475741324737,-0.0997475741324737,-0.0997475741324737
"Worthless_Freq","~~","Angry_Freq",158.475551871005,0.0156680104718682,0.0154263108715898,0.160628844799214,0.160628844799214,0.625321227002889
"Anatagonistic","=~","Difficult_Arrange",158.432774217323,0.0284681836870516,0.0276801792594044,-0.144775330869904,-0.144775330869904,-0.144775330869904
"Swea_Frequency","~~","Falling_Asleep",156.95562399169,0.0221913457858527,0.0217095809677318,0.176966152009807,0.176966152009807,0.302655789297189
"Actively_Carry_Plans","~~","Change_For_Better",156.125764689476,0.00806543961572336,0.00800090876917467,0.147826025430367,0.147826025430367,0.33498235528059
"Detachment","=~","High_Standards",152.57223486806,0.119820088312215,0.106999409604097,-0.112914973929126,-0.112914973929126,-0.112914973929126
"Disinhibited_Externalizing","=~","Hot_Flashes",151.661466200906,0.0392469511546894,0.0377647979732659,-0.0977505531956688,-0.0977505531956688,-0.0977505531956688
"Somaticizing","=~","Enjoy_Hurting_Say_Mean",143.710798788941,0.041313349144708,0.0396742720898,0.178914842605181,0.178914842605181,0.178914842605181
"Disinhibited_Externalizing","=~","Hopeless_Freq",143.646653278887,0.0694299101740382,0.064922356774872,0.0983398399431611,0.0983398399431611,0.0983398399431611
"Change_For_Better","~~","Know_Want_Life",142.871632001479,0.0103501893744968,0.0102441603746366,0.152577593640966,0.152577593640966,0.362319903866498
"Anatagonistic","=~","Will",141.653106405106,0.0739806924942569,0.0688845646958896,-0.0855015248022205,-0.0855015248022205,-0.0855015248022205
"Gave_Up","~~","Plan_Future",141.478189196016,0.0166426506762868,0.0163702070390376,0.133980700601068,0.133980700601068,0.25478237783177
"Disinhibited_Externalizing","=~","Ashamed_Freq",141.029178866619,0.0933261082682663,0.085359809449796,0.103711446503289,0.103711446503289,0.103711446503289
"Few_Close_Friends","~~","No_Warm_Relationship",140.589963339491,0.0240581533977077,0.0234929562524213,-0.0994717933060494,-0.0994717933060494,-0.218131128805428
"Upset_Freq_30_Day","~~","Worthless_Freq",140.587678688243,0.022323905092677,0.0218364306864695,0.144535550508577,0.144535550508577,0.596977360923382
"Internalizing","=~","Will",140.096835040029,0.0897783720988617,0.0823822296325745,-0.0720823828162455,-0.0720823828162455,-0.0720823828162455
"Dont_Fit_Community","~~","Few_Close_Friends",136.208007499386,0.0102180853452618,0.0101147321489197,-0.10336685663193,-0.10336685663193,-0.203096699581321
"Irritable_Freq","~~","Mood_Up_Down",135.704506267379,0.0462057532760531,0.0441650728180054,-0.125435581763378,-0.125435581763378,-0.325494888480438
"Internalizing","=~","Like_Difficult_Things",134.993564245623,0.0917172608038209,0.0840119178259492,-0.0685830453355832,-0.0685830453355832,-0.0685830453355832
"Like_Difficult_Things","~~","Dont_Give_Up",131.777152359671,0.0230926119263241,0.022571379811691,-0.131779527766373,-0.131779527766373,-0.187914311289612
"Internalizing","=~","High_Standards",131.176692510092,0.0960149224289984,0.087603663475867,-0.0724941655877589,-0.0724941655877589,-0.0724941655877589
"Hopeless_Freq","~~","Angry_Freq",130.599833291708,0.0196838732013303,0.0193038977261964,0.136909247567856,0.136909247567856,0.516108458264507
"Will","~~","Dont_Give_Up",130.391289232303,0.0203384867896646,0.0199330781431723,-0.125080726826159,-0.125080726826159,-0.196439006072027
"Backache_Frequency","~~","Extremities_Aches",128.752123921911,0.018655514475853,0.0183138599955964,-0.134864801526668,-0.134864801526668,-0.199712132408991
"Enjoy_Hurting_Say_Mean","~~","Sometimes_Just_Hit_Someone",126.379108499363,0.0278708024278041,0.0271150832983814,-0.191568151108503,-0.191568151108503,-0.305946895203815
"Upset_Think_Day","~~","Minor_Setback_Irritate",122.82067261761,0.0248061428358199,0.0242056929588428,-0.104399770232918,-0.104399770232918,-0.235604225958653
"Anatagonistic","=~","High_Standards",122.776484818814,0.0974255101748629,0.0887764219726761,-0.0839314047892707,-0.0839314047892707,-0.0839314047892707
"No_Good_Sense","~~","Actively_Carry_Plans",120.414956725386,0.00913414525048878,0.00905146782861211,0.099637445215137,0.099637445215137,0.25006806300459
"People_Mean","~~","More_Sucessful",118.896499369903,0.0304209767072924,0.0295228623979518,-0.13662201384375,-0.13662201384375,-0.211589015487517
"Internalizing","=~","No_Good_Sense",115.872100327557,0.0346172382409864,0.0334589807336298,0.0877344239703317,0.0877344239703317,0.0877344239703317
