"lhs","op","rhs","mi","riv","fmi","epc","sepc.lv","sepc.all"
"Detachment","=~","Actively_Carry_Plans",1652.55351803669,0.0271544170240334,0.0264365479756273,0.321363520765558,0.321363520765558,0.321363520765558
"Anatagonistic","=~","Actively_Carry_Plans",1186.37820584641,0.0233949947628516,0.0228601809492656,0.236239954986182,0.236239954986182,0.236239954986182
"Angry_Ready_Hit","~~","Sometimes_Just_Hit_Someone",1151.1288830365,0.152131323771902,0.132043388312582,-0.41199390951362,-0.41199390951362,-0.666213770506875
"Internalizing","=~","Actively_Carry_Plans",1058.87191027553,0.0369593166172974,0.0356420122033946,0.191707954214887,0.191707954214887,0.191707954214887
"Upset_Freq_30_Day","~~","Angry_Freq",795.903359307668,0.0512072077951534,0.0487127632073201,-0.184021459328379,-0.184021459328379,-0.553944003460874
"Will","~~","Change_For_Better",748.249859712,0.0392393110184893,0.0377577239452513,-0.258285117123449,-0.258285117123449,-0.478588006885193
"Nervous_Freq_30_Day","~~","Restless_Freq_30_Day",666.040939471195,0.0700500748863516,0.0654642960459504,-0.211383712827943,-0.211383712827943,-0.454337434572757
"Internalizing","=~","Mood_Up_Down",617.863821951493,0.0390975312972327,0.0376264307436304,-0.28590768994009,-0.28590768994009,-0.28590768994009
"Frustrated_Freq_30_Day","~~","Angry_Freq",591.714983497164,0.047900577591381,0.0457109945501522,-0.15922566088675,-0.15922566088675,-0.474010013390919
"Disinhibited_Externalizing","=~","Gave_Up",566.577560368042,0.0269417643801892,0.0262349485770986,0.21963750051397,0.21963750051397,0.21963750051397
"Detachment","=~","Worthless_Freq",540.242639001177,0.0842758738429897,0.0777254902336722,-0.220576701185169,-0.220576701185169,-0.220576701185169
"Detachment","=~","Dont_Give_Up",536.926698633201,0.0443582609425131,0.0424741801749915,-0.193979066688888,-0.193979066688888,-0.193979066688888
"Internalizing","=~","Sometimes_Just_Hit_Someone",482.841784283426,0.0663670175887952,0.0622365625475366,0.325521905847783,0.325521905847783,0.325521905847783
"Detachment","=~","Know_Want_Life",462.584170133555,0.04462526256174,0.0427189195600203,0.182437694310499,0.182437694310499,0.182437694310499
