"lhs","op","rhs","est","se","t","df","pvalue","ci.lower","ci.upper","std.lv","std.all"
"Internalizing","=~","Worry_Frequency",0.388337736185965,0.00913005106437925,42.534015795493,111693.748349139,0,0.370442971006919,0.40623250136501,0.566978684102716,0.566978684102716
"Internalizing","=~","Nervous_Freq_30_Day",0.505255292761806,0.00715828108536936,70.5833267422937,44544.3259546155,0,0.491224938408677,0.519285647114935,0.737679999475608,0.737679999475608
"Internalizing","=~","Restless_Freq_30_Day",0.501583520861835,0.00737458142185833,68.015185156833,70164.9340332931,0,0.487129357535654,0.516037684188016,0.732319159654535,0.732319159654535
"Internalizing","=~","Afraid_Freq_30_Day",0.524243881523246,0.00778956324808591,67.3008055556986,79912.7962565014,0,0.508976386859236,0.539511376187255,0.765403612366457,0.765403612366457
"Internalizing","=~","Frustrated_Freq_30_Day",0.563664161471717,0.00719162147761259,78.3778961707585,47227.2408375126,0,0.549568481133758,0.577759841809675,0.82295778845982,0.82295778845982
"Internalizing","=~","Upset_Freq_30_Day",0.565748824822444,0.00708983480480655,79.7971801033918,35872.754983453,0,0.551852535081183,0.579645114563704,0.826001426956045,0.826001426956045
"Internalizing","=~","Hopeless_Freq",0.614196581750487,0.00773093234829325,79.4466377507602,48789.1631316873,0,0.599043856871299,0.629349306629675,0.896735849370343,0.896735849370343
"Internalizing","=~","Everything_Effort",0.51361853456185,0.00757618367255329,67.7938335131139,32259.4830552939,0,0.498768930271697,0.528468138852003,0.749890452874221,0.749890452874221
"Internalizing","=~","Worthless_Freq",0.619331923560592,0.00803061630501914,77.1213441206883,30030.441892233,0,0.603591570421019,0.635072276700164,0.904233522325094,0.904233522325094
"Internalizing","=~","Irritable_Freq",0.520608113697514,0.00698743812229357,74.5062932344979,838.423729710324,0,0.506893187997175,0.534323039397853,0.760095339011974,0.760095339011974
"Internalizing","=~","Ashamed_Freq",0.5360260189272,0.00828673180950412,64.6848517907177,58020.4615790491,0,0.519783984206104,0.552268053648296,0.782605702554295,0.782605702554295
"Internalizing","=~","Lonely_Frequency",0.515926643059804,0.00768369657711984,67.1456294352001,44104.272705502,0,0.500866461200331,0.530986824919278,0.753260324501401,0.753260324501401
"Internalizing","=~","Angry_Freq",0.548913081531969,0.00701911868353611,78.202564492817,34167.2353139035,0,0.535155374346411,0.562670788717528,0.8014209994383,0.8014209994383
"Anatagonistic","=~","People_Mean",0.39995134256065,0.00951692058750811,42.0252894708006,211623.67321272,0,0.381298414281482,0.418604270839817,0.639851602021779,0.639851602021779
"Anatagonistic","=~","Upset_Think_Day",0.467987605952966,0.00916054512752736,51.0873097002346,210005.468254675,0,0.450033163943997,0.485942047961935,0.748697622761282,0.748697622761282
"Anatagonistic","=~","Minor_Setback_Irritate",0.463785255486452,0.00871434484720917,53.2208976828571,54115.1312145403,0,0.446705071413703,0.480865439559201,0.741974603253358,0.741974603253358
"Anatagonistic","=~","Mood_Up_Down",0.503105097724187,0.0099782019950389,50.4204162207107,100735.91217562,0,0.483547946199907,0.522662249248468,0.804879415338702,0.804879415338702
"Anatagonistic","=~","Angry_Ready_Hit",0.375375647358985,0.00925927406023002,40.5405051105767,43774.8128490425,0,0.357227301880109,0.393523992837861,0.600534824523527,0.600534824523527
